"58","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под маслом","м2",NULL
"59","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под глянцевым лаком ROC","м2",NULL
"60","2","Франция","Экзотика","без фаски",NULL,NULL,"шип-паз","без покрытия","м2",NULL
"61","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","без покрытия","м2",NULL
"62","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под матовым лаком","м2",NULL
"63","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под глянцевым лаком","м2",NULL
"64","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под маслом","м2",NULL
"65","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под глянцевым лаком ROC","м2",NULL
"66","2","Франция","Экзотика","без фаски",NULL,NULL,"шип-паз","без покрытия","м2",NULL
"67","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","без покрытия","м2",NULL
"68","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под матовым лаком","м2",NULL
"69","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под глянцевым лаком","м2",NULL
"70","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под маслом","м2",NULL
"71","2","Франция","Экзотика","4 фаски",NULL,NULL,"шип-паз","под глянцевым лаком ROC","м2",NULL
"72","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","м2",NULL
"73","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","м","доска"
"74","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"под матовым лаком","м","доска"
"75","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","м","доска"
"76","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"под матовым лаком","м","доска"
"77","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","м","доска"
"78","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"под матовым лаком","м","доска"
"79","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","м","доска"
"80","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"под матовым лаком","м","доска"
"81","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","шт","доска"
"82","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","шт","доска"
"83","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","шт","доска"
"84","2","Франция","Экзотика",NULL,NULL,NULL,NULL,"без покрытия","шт","доска"
